_id,word,shortcut,locale
285,夜晚和白天,yewanhubaitian,zh-CN
286,夜晚和白天,yewanhuobaitian,zh-CN
287,蜜桃小情人,mitaoxiaoqingren,zh-CN
288,妈妈向前冲,mamaxiangqianchong,zh-CN
289,邪魅妻主,xiemeiqizhu,zh-CN
290,他和她的事情,tahetadeshiqing,zh-CN
291,水木一郎,shuimuyilang,zh-CN
292,超合金火球,chaohejinhuoqiu,zh-CN
293,可可椰子,kekeyezi,zh-CN
294,大尾立,daweili,zh-CN
295,大尾立,daiweili,zh-CN
296,大尾立,taiweili,zh-CN
297,大尾立,dayili,zh-CN
298,大尾立,daiyili,zh-CN
299,大尾立,taiyili,zh-CN
300,魔法恋人,mofalianren,zh-CN
301,笹原名月,tiyuanmingyue,zh-CN
302,笹原名月,xiaoyuanmingyue,zh-CN
303,霹雳双响炮,pilishuangxiangpao,zh-CN
304,德拉西翁,delaxiweng,zh-CN
305,飞空艇时代,feikongtingshidai,zh-CN
306,风铃,fengling,zh-CN
307,井上瑶,jingshangyao,zh-CN
308,山尾溪介,shanweixijie,zh-CN
309,山尾溪介,shanyixijie,zh-CN
310,花木九里虎,huamujiulihu,zh-CN
311,超激斗红芽,chaojidouhongya,zh-CN
312,超激斗红芽,chaojidougongya,zh-CN
313,野崎梅太郎,yeqimeitailang,zh-CN
314,马谡幼常,masuyouchang,zh-CN
315,日语专业毕业论文写作指导,riyuzhuanyebiyelunwenxiezuozhidao,zh-CN
316,黛茜,daiqian,zh-CN
317,黛茜,daixi,zh-CN
318,仁本华伞物语,renbenhuasanwuyu,zh-CN
319,燕驼龙,yantuolong,zh-CN
320,口袋坞,koudaiwu,zh-CN
321,空中大灌篮,kongzhongdaguanlan,zh-CN
322,吉美漫画,jimeimanhua,zh-CN
323,兰亭小精灵,lantingxiaojingling,zh-CN
324,凌战天,lingzhantian,zh-CN
325,笑话一箩筐,xiaohuayiluokuang,zh-CN
326,藤堂麻子,tengtangmazi,zh-CN
327,人鱼传说,renyuchuanshuo,zh-CN
328,加牟波理,jiamuboli,zh-CN
329,加牟波理,jiamouboli,zh-CN
330,祈愿之花,qiyuanzhihua,zh-CN
331,比那名居天子,binamingjutianzi,zh-CN
332,植田理香,zhitianlixiang,zh-CN
333,野野宫千纱,yeyegongqiansha,zh-CN
334,艾斯特尔,aisiteer,zh-CN
335,幽灵王,youlingwang,zh-CN
336,贝比日记,beibiriji,zh-CN
337,利萨,lisa,zh-CN
338,魔导战记,modaozhanji,zh-CN
339,女帝奇英传,nvdiqiyingchuan,zh-CN
340,女帝奇英传,nvdiqiyingzhuan,zh-CN
341,女帝奇英传,nvdijiyingchuan,zh-CN
342,女帝奇英传,nvdijiyingzhuan,zh-CN
343,山猫和吉米,shanmaohejimi,zh-CN
344,山猫和吉米,shanmaohujimi,zh-CN
345,山猫和吉米,shanmaohuojimi,zh-CN
346,警告丈夫,jinggaozhangfu,zh-CN
347,淑女要革命,shunvyaogeming,zh-CN
348,虚蟜,xujiao,zh-CN
349,天草二十六,tiancaoershiliu,zh-CN
350,清姫,qingzhen,zh-CN
351,朔,shuo,zh-CN
352,木橱童子,muchutongzi,zh-CN
353,金田一佑子,jintianyiyouzi,zh-CN
354,十三月爱狩,shisanyueaishou,zh-CN
355,宇佐麻吕,yuzuomalv,zh-CN
356,萨满兽,samanshou,zh-CN
357,窟卢塔族,kulutazu,zh-CN
358,喜羊羊与灰太狼之兔年顶呱呱,xiyangyangyuhuitailangzhituniandingguagua,zh-CN
359,重返少年时,chongfanshaonianshi,zh-CN
360,跟叫的花狗,genjiaodehuagou,zh-CN
361,奈亚公主,naiyagongzhu,zh-CN
362,面具战神,mianjuzhanshen,zh-CN
363,朱雀踢,zhuqueti,zh-CN
364,小王子与八头龙,xiaowangziyubatoulong,zh-CN
365,鼠国传奇,shuguochuanqi,zh-CN
366,桂木华,guimuhua,zh-CN
367,特殊战技教导队,teshuzhanjijiaodaodui,zh-CN
368,植草智之,zhicaozhizhi,zh-CN
369,少尉小黑周日奇遇,shaoweixiaoheizhouriqiyu,zh-CN
370,执事无国境,zhishiwuguojing,zh-CN
371,执事无国境,zhishimoguojing,zh-CN
372,超级飞侠,chaojifeixia,zh-CN
373,香巧蒂尔,xiangqiaodier,zh-CN
374,小日向光,xiaorixiangguang,zh-CN
375,一花香,yihuaxiang,zh-CN
376,风耀,fengyao,zh-CN
377,小岛水色,xiaodaoshuise,zh-CN
378,高木泰士,gaomutaishi,zh-CN
379,亲亲坏老爹,qinqinhuailaodie,zh-CN
380,亲亲坏老爹,qinqinpeilaodie,zh-CN
381,亲亲坏老爹,qinqinpilaodie,zh-CN
382,日向缘,rixiangyuan,zh-CN
383,斗忠丸,douzhongwan,zh-CN
384,小虫三宝,xiaochongsanbao,zh-CN
385,制服魔法翠酱,zhifumofacuijiang,zh-CN
386,萨茨,saci,zh-CN
387,孪声偶像,luanshengouxiang,zh-CN
388,震震果实,zhenzhenguoshi,zh-CN
389,小熊维尼与跳跳虎百亩森林惊魂记,xiaoxiongweiniyutiaotiaohubaimusenlinjinghunji,zh-CN
390,北村谦次,beicunqianci,zh-CN
391,仙女中位娜娜,xiannvzhongweinana,zh-CN
392,机体量子化,jitiliangzihua,zh-CN
393,小星猫之魔幻乐章,xiaoxingmaozhimohuanyuezhang,zh-CN
394,松前皋月,songqiangaoyue,zh-CN
395,松前皋月,songqianhaoyue,zh-CN
396,放学后的征服世界,fangxuehoudezhengfushijie,zh-CN
397,放学后的征服世界,fangxuehoudizhengfushijie,zh-CN
398,风猫,fengmao,zh-CN
399,白爱丽丝,baiailisi,zh-CN
400,骑士唐老鸭,qishitanglaoya,zh-CN
401,盗梦侦探,daomengzhentan,zh-CN
402,梅造,meizao,zh-CN
403,殉爱之章,xunaizhizhang,zh-CN
404,大声说爱我,dashengshuoaiwo,zh-CN
405,巨头冰怪,jutoubingguai,zh-CN
406,渥太利亚,wotailiya,zh-CN
407,小野寺雄介,xiaoyesixiongjie,zh-CN
408,绫里真宵,linglizhenxiao,zh-CN
409,蜜糖甜心,mitangtianxin,zh-CN
410,修克拜因,xiukebaiyin,zh-CN
411,暗天之战,antianzhizhan,zh-CN
412,蔷薇森林,qiangweisenlin,zh-CN
413,三津谷亚玖斗,sanjinguyajiudou,zh-CN
414,三津谷亚玖斗,sanjinyuyajiudou,zh-CN
415,翳毒无痕,yiduwuhen,zh-CN
416,翳毒无痕,yidaiwuhen,zh-CN
417,阿南满雪,ananmanxue,zh-CN
418,最帅英雄传说,zuishuaiyingxiongchuanshuo,zh-CN
419,丝绸之路少年雄途,sichouzhilushaonianxiongtu,zh-CN
420,由良吾郎,youliangwulang,zh-CN
421,由良吾郎,youliangyulang,zh-CN
422,无情葬月,wuqingzangyue,zh-CN
423,霜月幸春,shuangyuexingchun,zh-CN
424,未知数恋爱论,weizhishulianailun,zh-CN
425,近土,jintu,zh-CN
426,吉富昭仁,jifuzhaoren,zh-CN
427,千叶梦幻岛,qianyemenghuandao,zh-CN
428,只有我不在的街道,zhiyouwobuzaidejiedao,zh-CN
429,只有我不在的街道,zhiyouwobuzaidijiedao,zh-CN
430,倒霉三人组,daomeisanrenzu,zh-CN
431,光辉女神与血色印记,guanghuinvshenyuxueseyinji,zh-CN
432,怪兽大战外星人外传之活死人萝卜之夜,guaishoudazhanwaixingrenwaizhuanzhihuosirenluobozhiye,zh-CN
433,怪兽大战外星人外传之活死人萝卜之夜,guaishoudazhanwaixingrenwaizhuanzhihuosirenluobuzhiye,zh-CN
434,电影游击队,dianyingyoujidui,zh-CN
435,暧昧关系,aimeiguanxi,zh-CN
436,松田阵平,songtianzhenping,zh-CN
437,小蜜蜂寻亲记,xiaomifengxunqinji,zh-CN
438,大话西游梦国语,dahuaxiyoumengguoyu,zh-CN
439,梦杀升,mengshasheng,zh-CN
440,朝露消失时,zhaoluxiaoshishi,zh-CN
441,我的妹妹会读汉字,wodemeimeihuiduhanzi,zh-CN
442,小岛直树,xiaodaozhishu,zh-CN
443,白激之术,baijizhishu,zh-CN
444,宇宙的巨人希曼,yuzhoudejurenximan,zh-CN
445,宇宙的巨人希曼,yuzhoudijurenximan,zh-CN
446,奥塔维亚,aotaweiya,zh-CN
447,姬考,jikao,zh-CN
448,雪椰,xueye,zh-CN
449,守望者前传喜剧演员,shouwangzheqianzhuanxijuyanyuan,zh-CN
450,电波之城,dianbozhicheng,zh-CN
